example_id,sentence,source_text,source_norm,source_type,relation,target_text,target_norm,target_type
646,"Nicotinic acetylcholine receptors ( nAChRs ) have been pursued for decades as potential molecular targets to treat cognitive dysfunction in Alzheimer's disease ( AD ) due to their positioning within regions of the brain critical in learning and memory , such as the prefrontal cortex and hippocampus , and their demonstrated role in processes underlying cognition such as synaptic facilitation , and theta and gamma wave activity .",Nicotinic acetylcholine receptors,nicotinic acetylcholine receptors,gene,treatment_target_for,cognitive dysfunction,cognitive dysfunction,disease
646,"Nicotinic acetylcholine receptors ( nAChRs ) have been pursued for decades as potential molecular targets to treat cognitive dysfunction in Alzheimer's disease ( AD ) due to their positioning within regions of the brain critical in learning and memory , such as the prefrontal cortex and hippocampus , and their demonstrated role in processes underlying cognition such as synaptic facilitation , and theta and gamma wave activity .",nAChRs,nachrs,gene,abbreviation_for,Nicotinic acetylcholine receptors,nicotinic acetylcholine receptors,gene
646,"Nicotinic acetylcholine receptors ( nAChRs ) have been pursued for decades as potential molecular targets to treat cognitive dysfunction in Alzheimer's disease ( AD ) due to their positioning within regions of the brain critical in learning and memory , such as the prefrontal cortex and hippocampus , and their demonstrated role in processes underlying cognition such as synaptic facilitation , and theta and gamma wave activity .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
653,Detecting Treatment Group Differences in Alzheimer's Disease Clinical Trials : A Comparison of Alzheimer's Disease Assessment Scale - Cognitive Subscale ( ADAS-Cog ) and the Clinical Dementia Rating - Sum of Boxes ( CDR-SB ) .,ADAS-Cog,adas-cog,method,abbreviation_for,Alzheimer's Disease Assessment Scale - Cognitive Subscale,alzheimer's disease assessment scale - cognitive subscale,method
653,Detecting Treatment Group Differences in Alzheimer's Disease Clinical Trials : A Comparison of Alzheimer's Disease Assessment Scale - Cognitive Subscale ( ADAS-Cog ) and the Clinical Dementia Rating - Sum of Boxes ( CDR-SB ) .,CDR-SB,cdr-sb,method,abbreviation_for,Clinical Dementia Rating - Sum of Boxes,clinical dementia rating - sum of boxes,method
654,The Alzheimer's Disease Assessment Scale's cognitive subscale ( ADAS-Cog ) has been widely used as an outcome measure in Alzheimer's Disease ( AD ) clinical trials .,Alzheimer's Disease Assessment Scale's cognitive subscale,alzheimer's disease assessment scale's cognitive subscale,method,help_diagnose,Alzheimer's Disease,alzheimer's disease,disease
654,The Alzheimer's Disease Assessment Scale's cognitive subscale ( ADAS-Cog ) has been widely used as an outcome measure in Alzheimer's Disease ( AD ) clinical trials .,ADAS-Cog,adas-cog,method,abbreviation_for,Alzheimer's Disease Assessment Scale's cognitive subscale,alzheimer's disease assessment scale's cognitive subscale,method
654,The Alzheimer's Disease Assessment Scale's cognitive subscale ( ADAS-Cog ) has been widely used as an outcome measure in Alzheimer's Disease ( AD ) clinical trials .,AD,ad,disease,abbreviation_for,Alzheimer's Disease,alzheimer's disease,disease
655,"In its original form ( ADAS-Cog11 ) , the scale has been used successfully in mild-to-moderate AD dementia populations , but its use is more limited in the study of earlier disease ( mild cognitive impairment [ MCI ] or mild dementia due to AD ) owing to lack of appropriate sensitivity of some items .",MCI,mci,disease,abbreviation_for,mild cognitive impairment,mild cognitive impairment,disease
656,"With recent focus on earlier treatment , efforts have focused on the development of more sensitive tools , including the Clinical Dementia Rating-Sum of Boxes ( CDR-SB ) , a global assessment tool to evaluate both cognition and function .",CDR-SB,cdr-sb,method,abbreviation_for,Clinical Dementia Rating-Sum of Boxes,clinical dementia rating-sum of boxes,method
665,"A majority of current disease-modifying therapeutic approaches for age-related neurodegenerative diseases target their characteristic proteopathic lesions ( alpha-synuclein , Tau , Abeta ) .",alpha-synuclein,alpha-synuclein,gene,hyponym_of,proteopathic lesions,proteopathic lesions,disease
665,"A majority of current disease-modifying therapeutic approaches for age-related neurodegenerative diseases target their characteristic proteopathic lesions ( alpha-synuclein , Tau , Abeta ) .",Tau,tau,gene,hyponym_of,proteopathic lesions,proteopathic lesions,disease
665,"A majority of current disease-modifying therapeutic approaches for age-related neurodegenerative diseases target their characteristic proteopathic lesions ( alpha-synuclein , Tau , Abeta ) .",Abeta,abeta,gene,hyponym_of,proteopathic lesions,proteopathic lesions,disease
666,"To monitor such treatments , fluid biomarkers reflecting the underlying disease process are crucial . We found robust increases of neurofilament light chain ( NfL ) in CSF and blood in murine models of alpha-synucleinopathies , tauopathy , and beta-amyloidosis .",NfL,nfl,gene,abbreviation_for,neurofilament light chain,neurofilament light chain,gene
672,"BACKGROUND The aim of this study was to assess and compare peripapillary retinal nerve fiber layer ( RNFL ) thickness in patients with Alzheimer's disease ( AD ) , primary open-angle glaucoma ( POAG ) , preperimetric glaucoma ( PPG ) , and healthy controls with the use of Spectral Domain Optical Coherence Tomography ( SD-OCT ) .",RNFL,rnfl,other,abbreviation_for,peripapillary retinal nerve fiber layer,peripapillary retinal nerve fiber layer,other
672,"BACKGROUND The aim of this study was to assess and compare peripapillary retinal nerve fiber layer ( RNFL ) thickness in patients with Alzheimer's disease ( AD ) , primary open-angle glaucoma ( POAG ) , preperimetric glaucoma ( PPG ) , and healthy controls with the use of Spectral Domain Optical Coherence Tomography ( SD-OCT ) .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
672,"BACKGROUND The aim of this study was to assess and compare peripapillary retinal nerve fiber layer ( RNFL ) thickness in patients with Alzheimer's disease ( AD ) , primary open-angle glaucoma ( POAG ) , preperimetric glaucoma ( PPG ) , and healthy controls with the use of Spectral Domain Optical Coherence Tomography ( SD-OCT ) .",POAG,poag,disease,abbreviation_for,primary open-angle glaucoma,primary open-angle glaucoma,disease
672,"BACKGROUND The aim of this study was to assess and compare peripapillary retinal nerve fiber layer ( RNFL ) thickness in patients with Alzheimer's disease ( AD ) , primary open-angle glaucoma ( POAG ) , preperimetric glaucoma ( PPG ) , and healthy controls with the use of Spectral Domain Optical Coherence Tomography ( SD-OCT ) .",PPG,ppg,disease,abbreviation_for,preperimetric glaucoma,preperimetric glaucoma,disease
672,"BACKGROUND The aim of this study was to assess and compare peripapillary retinal nerve fiber layer ( RNFL ) thickness in patients with Alzheimer's disease ( AD ) , primary open-angle glaucoma ( POAG ) , preperimetric glaucoma ( PPG ) , and healthy controls with the use of Spectral Domain Optical Coherence Tomography ( SD-OCT ) .",SD-OCT,sd-oct,method,abbreviation_for,Spectral Domain Optical Coherence Tomography,spectral domain optical coherence tomography,method
688,"However , when gene expression data are heterogeneous with high levels of noise for samples assigned to the same condition , it is difficult to accurately determine whether a gene pair represents a significant gene-gene interaction ( GGI ) .",GGI,ggi,other,abbreviation_for,gene-gene interaction,gene-gene interaction,other
691,"Using Alzheimer's disease data , the proposed method showed remarkable accuracy , and the GGIs established in the analysis can be used to build a meaningful genetic network that can explain the mechanisms underlying Alzheimer's disease .",GGIs,ggis,method,help_diagnose,Alzheimer's disease,alzheimer's disease,disease
691,"Using Alzheimer's disease data , the proposed method showed remarkable accuracy , and the GGIs established in the analysis can be used to build a meaningful genetic network that can explain the mechanisms underlying Alzheimer's disease .",genetic network,genetic network,method,help_diagnose,Alzheimer's disease,alzheimer's disease,disease
691,"Using Alzheimer's disease data , the proposed method showed remarkable accuracy , and the GGIs established in the analysis can be used to build a meaningful genetic network that can explain the mechanisms underlying Alzheimer's disease .",genetic network,genetic network,method,help_diagnose,Alzheimer's disease,alzheimer's disease,disease
693,"OBJECTIVE : To observe the effect of acupuncture plus moxibustion on mitochondrial dynamics-related proteins ( OPA 1 , Fis 1 ) of hippocampal neurons in rat with Alzheimer's disease ( AD ) , and to explore the potential mechanism underlying acupuncture for the protection of hippocampal neuronal mitochondria .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
701,"BACKGROUND : Hyperexcitability of neuronal networks can lead to excessive release of the excitatory neurotransmitter glutamate , which in turn can cause neuronal damage by overactivating NMDA-type glutamate receptors and related signaling pathways .",Hyperexcitability of neuronal networks,hyperexcitability of neuronal networks,other,risk_factor_of,neuronal damage,neuronal damage,disease
701,"BACKGROUND : Hyperexcitability of neuronal networks can lead to excessive release of the excitatory neurotransmitter glutamate , which in turn can cause neuronal damage by overactivating NMDA-type glutamate receptors and related signaling pathways .",glutamate,glutamate,drug,risk_factor_of,neuronal damage,neuronal damage,disease
702,"This process ( excitotoxicity ) has been implicated in the pathogenesis of many neurological conditions , ranging from childhood epilepsies to stroke and neurodegenerative disorders such as Alzheimer's disease ( AD ) .",stroke,stroke,disease,hyponym_of,neurological conditions,neurological conditions,disease
702,"This process ( excitotoxicity ) has been implicated in the pathogenesis of many neurological conditions , ranging from childhood epilepsies to stroke and neurodegenerative disorders such as Alzheimer's disease ( AD ) .",Alzheimer's disease,alzheimer's disease,disease,hyponym_of,neurodegenerative disorders,neurodegenerative disorders,disease
702,"This process ( excitotoxicity ) has been implicated in the pathogenesis of many neurological conditions , ranging from childhood epilepsies to stroke and neurodegenerative disorders such as Alzheimer's disease ( AD ) .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
704,METHODS : We established a cell-based assay to quantify excitotoxicity in primary cultures of mouse hippocampal neurons and investigated the role of tau in exicitotoxicity by modulating neuronal tau expression through genetic ablation or transduction with lentiviral vectors expressing anti-tau shRNA or constructs encoding wildtype versus mutant mouse tau .,cell-based assay,cell-based assay,method,help_diagnose,excitotoxicity,excitotoxicity,disease
707,"Reconstituting tau expression in Mapt - / - neurons with mutant forms of tau reveals that the tau-related enhancement of Ca2 + influx and excitotoxicity depend on the phosphorylation of tau at tyrosine 18 ( pY18 ) , which is mediated by the tyrosine kinase Fyn .",pY18,py18,drug,abbreviation_for,tyrosine 18,tyrosine 18,drug
710,Our study suggests that reducing the formation or level of pY18-tau can counteract excitotoxicity by diminishing NMDA receptor-dependent Ca2 + influx .,pY18-tau,py18-tau,gene,treatment_for,excitotoxicity,excitotoxicity,disease
712,BACKGROUND : Cholinesterase inhibitors are routinely applied in the treatment of Alzheimer's disease and seeking for new cholinesterase inhibitors is a priority .,Cholinesterase,cholinesterase,gene,treatment_for,Alzheimer's disease,alzheimer's disease,disease
719,"RESULTS : For the first time , new inhibitors were identified , namely : methyl jasmonate , 1R - ( - ) - nopol ( ( anti-acetyl - ( AChE ) and butyrylcholinesterase ( BChE ) activity ) ) and 1 , 4-cineole , allo - aromadendrene , nerolidol , beta-ionone , and ( R ) - ( + ) - pulegone ( anti-BChE activity ) .",BChE,bche,gene,abbreviation_for,butyrylcholinesterase,butyrylcholinesterase,gene
719,"RESULTS : For the first time , new inhibitors were identified , namely : methyl jasmonate , 1R - ( - ) - nopol ( ( anti-acetyl - ( AChE ) and butyrylcholinesterase ( BChE ) activity ) ) and 1 , 4-cineole , allo - aromadendrene , nerolidol , beta-ionone , and ( R ) - ( + ) - pulegone ( anti-BChE activity ) .",anti-BChE,anti-bche,gene,abbreviation_for,pulegone,pulegone,drug
727,"Alzheimer's disease ( AD ) belongs to one of the most multifactorial , complex and heterogeneous morbidity-leading disorders .",Alzheimer's disease,alzheimer's disease,disease,hyponym_of,morbidity-leading disorders,morbidity-leading disorders,disease
727,"Alzheimer's disease ( AD ) belongs to one of the most multifactorial , complex and heterogeneous morbidity-leading disorders .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
729,"Mechanisms linking AD with certain comorbidities , namely diabetes mellitus , obesity and dyslipidemia , are increasingly gaining importance , mainly because of their potential role in promoting AD development and exacerbation .",AD,ad,disease,associated_with,comorbidities,comorbidities,disease
729,"Mechanisms linking AD with certain comorbidities , namely diabetes mellitus , obesity and dyslipidemia , are increasingly gaining importance , mainly because of their potential role in promoting AD development and exacerbation .",diabetes mellitus,diabetes mellitus,disease,hyponym_of,comorbidities,comorbidities,disease
729,"Mechanisms linking AD with certain comorbidities , namely diabetes mellitus , obesity and dyslipidemia , are increasingly gaining importance , mainly because of their potential role in promoting AD development and exacerbation .",obesity,obesity,disease,hyponym_of,comorbidities,comorbidities,disease
729,"Mechanisms linking AD with certain comorbidities , namely diabetes mellitus , obesity and dyslipidemia , are increasingly gaining importance , mainly because of their potential role in promoting AD development and exacerbation .",dyslipidemia,dyslipidemia,disease,hyponym_of,comorbidities,comorbidities,disease
735,"Bisecting N-acetylglucosamine ( GlcNAc ) levels increased in the cerebrospinal fluid of most Alzheimer's disease ( AD ) patients , and the mRNA levels of N-acetylglucosaminyltransferase III ( GnT-III ) , a glycosyltransferase responsible for synthesizing a bisecting GlcNAc residue , were found highly expressed in the brains of AD patients .",GlcNAc,glcnac,drug,abbreviation_for,N-acetylglucosamine,n-acetylglucosamine,drug
735,"Bisecting N-acetylglucosamine ( GlcNAc ) levels increased in the cerebrospinal fluid of most Alzheimer's disease ( AD ) patients , and the mRNA levels of N-acetylglucosaminyltransferase III ( GnT-III ) , a glycosyltransferase responsible for synthesizing a bisecting GlcNAc residue , were found highly expressed in the brains of AD patients .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
735,"Bisecting N-acetylglucosamine ( GlcNAc ) levels increased in the cerebrospinal fluid of most Alzheimer's disease ( AD ) patients , and the mRNA levels of N-acetylglucosaminyltransferase III ( GnT-III ) , a glycosyltransferase responsible for synthesizing a bisecting GlcNAc residue , were found highly expressed in the brains of AD patients .",N-acetylglucosaminyltransferase III,n-acetylglucosaminyltransferase iii,gene,hyponym_of,glycosyltransferase,glycosyltransferase,gene
735,"Bisecting N-acetylglucosamine ( GlcNAc ) levels increased in the cerebrospinal fluid of most Alzheimer's disease ( AD ) patients , and the mRNA levels of N-acetylglucosaminyltransferase III ( GnT-III ) , a glycosyltransferase responsible for synthesizing a bisecting GlcNAc residue , were found highly expressed in the brains of AD patients .",GnT-III,gnt-iii,gene,abbreviation_for,N-acetylglucosaminyltransferase III,n-acetylglucosaminyltransferase iii,gene
736,"In our previous studies , glucagon-like peptide-1 ( GLP-1 ) and its mimetics showed neuroprotective effects .",GLP-1,glp-1,gene,abbreviation_for,glucagon-like peptide-1,glucagon-like peptide-1,gene
737,"Here , we confirmed that four weeks ' treatment of exendin-4 could rescue memory deficits and neuropathological changes in APP / PS1 mice .",exendin-4,exendin-4,gene,treatment_for,memory deficits,memory deficits,disease
739,"We demonstrated for the first time that the levels of GnT-III and bisecting GlcNAc were increased in APP / PS1 mice and Abeta25-35-treated PC12 cells , and GLP-1 receptor agonists ( GLP-1RA ) could downregulate aberrant neuronal expression of GnT-III and bisecting GlcNAc .",GLP-1RA,glp-1ra,gene,abbreviation_for,GLP-1 receptor agonists,glp-1 receptor agonists,drug
739,"We demonstrated for the first time that the levels of GnT-III and bisecting GlcNAc were increased in APP / PS1 mice and Abeta25-35-treated PC12 cells , and GLP-1 receptor agonists ( GLP-1RA ) could downregulate aberrant neuronal expression of GnT-III and bisecting GlcNAc .",GLP-1RA,glp-1ra,gene,hyponym_of,GLP-1 receptor agonists,glp-1 receptor agonists,drug
740,We also found that GLP-1RA recovered the phosphorylation levels of Akt ( Ser473 ) and GSK-3beta ( Ser9 ) and the levels of beta-catenin in mice and cell models .,Ser9,ser9,gene,abbreviation_for,GSK-3beta,gsk-3beta,gene
743,[ Subjective memory complaints ( SMC ) ] .,SMC,smc,disease,abbreviation_for,Subjective memory complaints,subjective memory complaints,disease
745,"Recent evidence indicates subjective memory complaints is not merely a sign of a depressive state or an aging phenomenon , but an important risk factor for proceeding to mild cognitive impairment ( MCI ) and dementia in the future .",MCI,mci,disease,abbreviation_for,mild cognitive impairment,mild cognitive impairment,disease
746,"Even when cognitively intact through the life , people with SMC tend to have more Alzheimer's disease ( AD ) pathology in the brain , which recently been defined as preclinical AD .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
748,"The effectiveness of ICT-based neurocognitive and psychosocial rehabilitation programmes in people with mild dementia and mild cognitive impairment using GRADIOR and ehcoBUTLER : study protocol for a randomised controlled trial . BACKGROUND : Cognitive rehabilitation is a highly individualised , non-pharmacological intervention for people with mild cognitive impairment ( MCI ) and dementia , which in recent years has also been developed for various IT platforms .",MCI,mci,disease,abbreviation_for,mild cognitive impairment,mild cognitive impairment,disease
751,"This trial will compare the cognitive rehabilitation treatment using the GRADIOR programme with a psychosocial stimulation intervention ( PSS ) using the ehcoBUTLER platform , with a combined treatment consisting of GRADIOR and ehcoBUTLER , and with a group receiving treatment as usual during a period of 1 year .",PSS,pss,method,abbreviation_for,psychosocial stimulation intervention,psychosocial stimulation intervention,method
757,OBJECTIVE : The objective of this study was to identify new causes of Charcot-Marie-Tooth ( CMT ) disease in patients with autosomal-recessive ( AR ) CMT .,CMT,cmt,other,abbreviation_for,Charcot-Marie-Tooth,charcot-marie-tooth,other
757,OBJECTIVE : The objective of this study was to identify new causes of Charcot-Marie-Tooth ( CMT ) disease in patients with autosomal-recessive ( AR ) CMT .,AR,ar,other,abbreviation_for,autosomal-recessive,autosomal-recessive,other
759,We performed mutation screening of the newly identified membrane metalloendopeptidase ( MME ) gene in 354 additional patients with CMT .,MME,mme,gene,abbreviation_for,membrane metalloendopeptidase,membrane metalloendopeptidase,gene
762,"The MME gene encodes neprilysin ( NEP ) , which is well known to be one of the most prominent beta-amyloid ( Abeta ) - degrading enzymes .",neprilysin,neprilysin,gene,hyponym_of,beta-amyloid,beta-amyloid,gene
762,"The MME gene encodes neprilysin ( NEP ) , which is well known to be one of the most prominent beta-amyloid ( Abeta ) - degrading enzymes .",NEP,nep,gene,abbreviation_for,neprilysin,neprilysin,gene
762,"The MME gene encodes neprilysin ( NEP ) , which is well known to be one of the most prominent beta-amyloid ( Abeta ) - degrading enzymes .",Abeta,abeta,gene,abbreviation_for,beta-amyloid,beta-amyloid,gene
773,"Here we present the NETwork Propagation-based Assessment of Genetic Events ( NETPAGE ) , an integrative approach aimed at investigating the biological pathways through which rare variation results in complex disease phenotypes .",NETPAGE,netpage,method,abbreviation_for,NETwork Propagation-based Assessment of Genetic Events,network propagation-based assessment of genetic events,method
774,"We applied NETPAGE to sporadic , late-onset Alzheimer's disease ( AD ) , using whole-genome sequencing from the AD Neuroimaging Initiative ( ADNI ) cohort , as well as whole-exome sequencing from the AD Sequencing Project ( ADSP ) .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
774,"We applied NETPAGE to sporadic , late-onset Alzheimer's disease ( AD ) , using whole-genome sequencing from the AD Neuroimaging Initiative ( ADNI ) cohort , as well as whole-exome sequencing from the AD Sequencing Project ( ADSP ) .",ADNI,adni,method,abbreviation_for,AD Neuroimaging Initiative,ad neuroimaging initiative,method
774,"We applied NETPAGE to sporadic , late-onset Alzheimer's disease ( AD ) , using whole-genome sequencing from the AD Neuroimaging Initiative ( ADNI ) cohort , as well as whole-exome sequencing from the AD Sequencing Project ( ADSP ) .",ADSP,adsp,method,abbreviation_for,AD Sequencing Project,ad sequencing project,method
778,"Additionally , smoothed scores significantly correlated with risk of conversion to AD in Mild Cognitive Impairment ( MCI ) subjects .",MCI,mci,disease,abbreviation_for,Mild Cognitive Impairment,mild cognitive impairment,disease
782,"BACKGROUND : Illiteracy , high cerebrovascular risk and copies of APOE-epsilon4 are risk factors for Alzheimer's disease dementia ( AD ) .",Illiteracy,illiteracy,disease,risk_factor_of,Alzheimer's disease dementia,alzheimer's disease dementia,disease
782,"BACKGROUND : Illiteracy , high cerebrovascular risk and copies of APOE-epsilon4 are risk factors for Alzheimer's disease dementia ( AD ) .",APOE-epsilon4,apoe-epsilon4,gene,risk_factor_of,Alzheimer's disease dementia,alzheimer's disease dementia,disease
782,"BACKGROUND : Illiteracy , high cerebrovascular risk and copies of APOE-epsilon4 are risk factors for Alzheimer's disease dementia ( AD ) .",AD,ad,disease,abbreviation_for,Alzheimer's disease dementia,alzheimer's disease dementia,disease
783,"We aimed to investigate the impacts of gender , education , coronary heart disease ( CHD ) risk and creatinine clearance variations , body mass index ( BMI ) and APOE haplotypes over the rates of cognitive and functional decline of AD in one year .",CHD,chd,disease,abbreviation_for,coronary heart disease,coronary heart disease,disease
783,"We aimed to investigate the impacts of gender , education , coronary heart disease ( CHD ) risk and creatinine clearance variations , body mass index ( BMI ) and APOE haplotypes over the rates of cognitive and functional decline of AD in one year .",BMI,bmi,other,abbreviation_for,body mass index,body mass index,other
784,"METHODS : Consecutive outpatients with late-onset AD were assessed for gender , schooling , BMI and APOE haplotypes , variations in one year of creatinine clearance and Framingham projections of the 10-year absolute CHD risk , and prospective scores of the Mini-Mental State Examination ( MMSE ) , the Clinical Dementia Rating Sum-of-Boxes ( CDR-SOB ) , the Index of Independence in Activities of Daily Living ( ADL ) and Lawton's Scale for Instrumental Activities of Daily Living ( IADL ) .",MMSE,mmse,method,abbreviation_for,Mini-Mental State Examination,mini-mental state examination,method
784,"METHODS : Consecutive outpatients with late-onset AD were assessed for gender , schooling , BMI and APOE haplotypes , variations in one year of creatinine clearance and Framingham projections of the 10-year absolute CHD risk , and prospective scores of the Mini-Mental State Examination ( MMSE ) , the Clinical Dementia Rating Sum-of-Boxes ( CDR-SOB ) , the Index of Independence in Activities of Daily Living ( ADL ) and Lawton's Scale for Instrumental Activities of Daily Living ( IADL ) .",CDR-SOB,cdr-sob,method,abbreviation_for,Clinical Dementia Rating Sum-of-Boxes,clinical dementia rating sum-of-boxes,method
784,"METHODS : Consecutive outpatients with late-onset AD were assessed for gender , schooling , BMI and APOE haplotypes , variations in one year of creatinine clearance and Framingham projections of the 10-year absolute CHD risk , and prospective scores of the Mini-Mental State Examination ( MMSE ) , the Clinical Dementia Rating Sum-of-Boxes ( CDR-SOB ) , the Index of Independence in Activities of Daily Living ( ADL ) and Lawton's Scale for Instrumental Activities of Daily Living ( IADL ) .",ADL,adl,other,abbreviation_for,Index of Independence in Activities of Daily Living,index of independence in activities of daily living,other
784,"METHODS : Consecutive outpatients with late-onset AD were assessed for gender , schooling , BMI and APOE haplotypes , variations in one year of creatinine clearance and Framingham projections of the 10-year absolute CHD risk , and prospective scores of the Mini-Mental State Examination ( MMSE ) , the Clinical Dementia Rating Sum-of-Boxes ( CDR-SOB ) , the Index of Independence in Activities of Daily Living ( ADL ) and Lawton's Scale for Instrumental Activities of Daily Living ( IADL ) .",IADL,iadl,other,abbreviation_for,Lawton's Scale for Instrumental Activities of Daily Living,lawton's scale for instrumental activities of daily living,other
790,Protein-Induced Pluripotent Stem Cells Ameliorate Cognitive Dysfunction and Reduce Abeta Deposition in a Mouse Model of Alzheimer's Disease .,Protein-Induced Pluripotent Stem Cells,protein-induced pluripotent stem cells,other,treatment_for,Cognitive Dysfunction,cognitive dysfunction,disease
792,"To identify patient-specific and safe stem cells for treating Alzheimer's disease ( AD ) , we generated induced pluripotent stem cells ( iPSCs ) derived from mouse skin fibroblasts by treating protein extracts of embryonic stem cells .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
792,"To identify patient-specific and safe stem cells for treating Alzheimer's disease ( AD ) , we generated induced pluripotent stem cells ( iPSCs ) derived from mouse skin fibroblasts by treating protein extracts of embryonic stem cells .",iPSCs,ipscs,other,abbreviation_for,induced pluripotent stem cells,induced pluripotent stem cells,other
795,We also found that transplanted protein-iPSCs mitigated the cognitive dysfunction observed in these mice .,transplanted protein-iPSCs,transplanted protein-ipscs,other,treatment_for,cognitive dysfunction,cognitive dysfunction,disease
797,"Taken together , our data indicate that protein-iPSCs might be a promising therapeutic approach for AD .",protein-iPSCs,protein-ipscs,method,treatment_for,AD,ad,disease
800,BACKGROUND : Alzheimer disease is the most typical form of dementia .,Alzheimer disease,alzheimer disease,disease,hyponym_of,dementia,dementia,disease
803,OBJECTIVE : The intent of this study was to weigh the expression levels of chitinases genes in brain regions of late-onset AD ( LOAD ) patients .,LOAD,load,disease,abbreviation_for,late-onset AD,late-onset ad,disease
812,These changes are also characteristic for Alzheimer's disease ( AD ) neuropathology .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
813,Our aim was to evaluate gene expression patterns in the mouse hippocampus ( MH ) by using microarray technology 12 and 96 h after SIR evoked by lipopolysaccharide ( LPS ) .,LPS,lps,gene,abbreviation_for,lipopolysaccharide,lipopolysaccharide,gene
828,"Since Curcumin possess both metal chelating and antioxidant properties , it can be used in chelation therapy for the cure of Alzheimer's disease .",Curcumin,curcumin,drug,treatment_for,Alzheimer's disease,alzheimer's disease,disease
828,"Since Curcumin possess both metal chelating and antioxidant properties , it can be used in chelation therapy for the cure of Alzheimer's disease .",chelation therapy,chelation therapy,method,treatment_for,Alzheimer's disease,alzheimer's disease,disease
830,"BACKGROUND : Major surgery has been associated with perioperative neurocognitive disorders ( PND ) , but the contributing factors and long-term prognosis are uncertain .",Major surgery,major surgery,disease,associated_with,perioperative neurocognitive disorders,perioperative neurocognitive disorders,disease
830,"BACKGROUND : Major surgery has been associated with perioperative neurocognitive disorders ( PND ) , but the contributing factors and long-term prognosis are uncertain .",PND,pnd,disease,abbreviation_for,perioperative neurocognitive disorders,perioperative neurocognitive disorders,disease
831,We hypothesize that preclinical Alzheimer's disease ( AD ) might predispose to cognitive deterioration after surgery .,Alzheimer's disease,alzheimer's disease,disease,risk_factor_of,cognitive deterioration,cognitive deterioration,disease
831,We hypothesize that preclinical Alzheimer's disease ( AD ) might predispose to cognitive deterioration after surgery .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
837,The presence of abnormal levels of amyloid-beta was associated to a postoperative impairment in verbal and visual memory tests .,amyloid-beta,amyloid-beta,gene,associated_with,postoperative impairment,postoperative impairment,disease
846,"Calmodulin's involvement in the contrasting roles of calcium / CaM-dependent kinase II ( CaMKII ) and calcineurin ( CaN ) in long term potentiation and depression , respectively , and memory impairment and neurodegeneration are updated .",CaN,can,gene,abbreviation_for,calcineurin,calcineurin,drug
847,"The functions of the proposed neuronal biomarker neurogranin , a calmodulin binding protein also involved in long term potentiation and depression , is detailed .",neurogranin,neurogranin,gene,associated_with,depression,depression,disease
847,"The functions of the proposed neuronal biomarker neurogranin , a calmodulin binding protein also involved in long term potentiation and depression , is detailed .",neurogranin,neurogranin,gene,hyponym_of,calmodulin binding protein,calmodulin binding protein,gene
848,"In addition , new discoveries into calmodulin's role in regulating glutamate receptors ( mGluR , NMDAR ) are overviewed .",mGluR,mglur,gene,abbreviation_for,regulating glutamate receptors,regulating glutamate receptors,gene
848,"In addition , new discoveries into calmodulin's role in regulating glutamate receptors ( mGluR , NMDAR ) are overviewed .",NMDAR,nmdar,gene,abbreviation_for,regulating glutamate receptors,regulating glutamate receptors,gene
850,"The role of calmodulin in the function of stromal interaction molecule 2 ( STIM2 ) and adenosine A2A receptor , two other proteins linked to neurodegenerative events , is discussed .",calmodulin,calmodulin,drug,associated_with,stromal interaction molecule 2,stromal interaction molecule 2,gene
850,"The role of calmodulin in the function of stromal interaction molecule 2 ( STIM2 ) and adenosine A2A receptor , two other proteins linked to neurodegenerative events , is discussed .",STIM2,stim2,gene,abbreviation_for,stromal interaction molecule 2,stromal interaction molecule 2,gene
854,"INTRODUCTION : The aim of this study was to ( 1 ) replicate previous associations between six blood lipids and Alzheimer's disease ( AD ) ( Proitsi et al 2015 ) and ( 2 ) identify novel associations between lipids , clinical AD diagnosis , disease progression and brain atrophy ( left / right hippocampus / entorhinal cortex ) .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
861,Disruption of iron homeostasis and increased glial response are known to occur in brains afflicted by Alzheimer's disease ( AD ) .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
871,Co-modulation of an allosteric modulator of nicotinic receptor-cholinesterase inhibitor ( galantamine ) and a 5-HT4 receptor agonist ( RS-67333 ) : effect on scopolamine-induced memory deficit in the mouse .,galantamine,galantamine,drug,abbreviation_for,nicotinic receptor-cholinesterase inhibitor,nicotinic receptor-cholinesterase inhibitor,drug
